Linux 3.2.0-30-virtual (14f431ee-8e10-439a-8a04-f57f71d97a86) 	12/07/2013 	_x86_64_	(4 CPU)

11:54:44 AM       PID    %usr %system  %guest    %CPU   CPU  Command
12:06:49 PM     12423    0.00    0.00    0.00    0.00     0  python
12:06:54 PM     12423    0.00    0.00    0.00    0.00     0  python
12:06:59 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:04 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:09 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:14 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:19 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:24 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:29 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:34 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:39 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:44 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:49 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:54 PM     12423    0.00    0.00    0.00    0.00     0  python
12:07:59 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:04 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:09 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:14 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:19 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:24 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:29 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:34 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:39 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:44 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:49 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:54 PM     12423    0.00    0.00    0.00    0.00     0  python
12:08:59 PM     12423    0.00    0.00    0.00    0.00     0  python
12:09:04 PM     12423   12.80    1.20    0.00   14.00     3  python
12:09:09 PM     12423   32.00    0.40    0.00   32.40     3  python
12:09:14 PM     12423   37.60    1.60    0.00   39.20     3  python
12:09:19 PM     12423   48.20    1.80    0.00   50.00     3  python
12:09:24 PM     12423   52.60    1.60    0.00   54.20     3  python
12:09:29 PM     12423   52.80    1.20    0.00   54.00     3  python
12:09:34 PM     12423   51.40    2.80    0.00   54.20     3  python
12:09:39 PM     12423   49.80    3.40    0.00   53.20     3  python
12:09:44 PM     12423   52.00    2.00    0.00   54.00     1  python
12:09:49 PM     12423   51.60    2.60    0.00   54.20     3  python
12:09:54 PM     12423   49.20    2.20    0.00   51.40     1  python
12:09:59 PM     12423   51.00    2.20    0.00   53.20     3  python
12:10:04 PM     12423   49.60    3.40    0.00   53.00     3  python
12:10:09 PM     12423   50.80    3.40    0.00   54.20     3  python
12:10:14 PM     12423   49.80    3.00    0.00   52.80     3  python
12:10:19 PM     12423   50.60    3.40    0.00   54.00     3  python
12:10:24 PM     12423   52.60    2.00    0.00   54.60     3  python
12:10:29 PM     12423   50.60    3.00    0.00   53.60     3  python
12:10:34 PM     12423   52.00    1.80    0.00   53.80     3  python
12:10:39 PM     12423   44.20    2.20    0.00   46.40     3  python
12:10:44 PM     12423   40.20    2.20    0.00   42.40     3  python
12:10:49 PM     12423   40.80    2.80    0.00   43.60     3  python
12:10:54 PM     12423   42.00    2.20    0.00   44.20     3  python
12:10:59 PM     12423   41.00    3.60    0.00   44.60     3  python
12:11:04 PM     12423   40.20    3.40    0.00   43.60     3  python
12:11:09 PM     12423   41.80    2.40    0.00   44.20     3  python
12:11:14 PM     12423   41.80    1.80    0.00   43.60     3  python
12:11:19 PM     12423   39.40    2.20    0.00   41.60     3  python
12:11:24 PM     12423   41.60    2.80    0.00   44.40     3  python
12:11:29 PM     12423   39.40    2.60    0.00   42.00     3  python
12:11:34 PM     12423   41.00    2.00    0.00   43.00     3  python
12:11:39 PM     12423   42.40    1.60    0.00   44.00     3  python
12:11:44 PM     12423   40.80    2.80    0.00   43.60     3  python
12:11:49 PM     12423   42.40    2.00    0.00   44.40     3  python
12:11:54 PM     12423   39.40    3.00    0.00   42.40     3  python
12:11:59 PM     12423   41.60    2.60    0.00   44.20     3  python
12:12:04 PM     12423   41.00    2.80    0.00   43.80     3  python
12:12:09 PM     12423   40.60    2.40    0.00   43.00     3  python
12:12:14 PM     12423   41.40    2.60    0.00   44.00     3  python
12:12:19 PM     12423   40.00    3.00    0.00   43.00     3  python
12:12:24 PM     12423   41.40    2.80    0.00   44.20     3  python
12:12:29 PM     12423   41.20    2.00    0.00   43.20     3  python
12:12:34 PM     12423   41.40    2.40    0.00   43.80     3  python
12:12:39 PM     12423   41.20    3.60    0.00   44.80     3  python
12:12:44 PM     12423   41.80    2.40    0.00   44.20     3  python
12:12:49 PM     12423   40.60    2.40    0.00   43.00     3  python
12:12:54 PM     12423   40.80    2.60    0.00   43.40     3  python
12:12:59 PM     12423   40.00    2.60    0.00   42.60     3  python
12:13:04 PM     12423   40.60    4.20    0.00   44.80     3  python
12:13:09 PM     12423   41.00    2.80    0.00   43.80     3  python
12:13:14 PM     12423   43.80    1.40    0.00   45.20     3  python
12:13:19 PM     12423   42.60    3.00    0.00   45.60     3  python
12:13:24 PM     12423   42.20    2.20    0.00   44.40     3  python
12:13:29 PM     12423   41.80    2.80    0.00   44.60     3  python
12:13:34 PM     12423   39.40    2.80    0.00   42.20     3  python
12:13:39 PM     12423   40.40    3.40    0.00   43.80     3  python
12:13:44 PM     12423   42.00    1.40    0.00   43.40     3  python
12:13:49 PM     12423   41.00    3.20    0.00   44.20     3  python
12:13:54 PM     12423   41.80    2.60    0.00   44.40     3  python
12:13:59 PM     12423   40.60    3.00    0.00   43.60     3  python
12:14:04 PM     12423   41.60    2.80    0.00   44.40     3  python
12:14:09 PM     12423   39.40    3.60    0.00   43.00     3  python
12:14:14 PM     12423   41.72    3.39    0.00   45.11     3  python
12:14:19 PM     12423   40.80    3.00    0.00   43.80     3  python
12:14:24 PM     12423   41.60    3.20    0.00   44.80     2  python
12:14:29 PM     12423   40.00    3.60    0.00   43.60     3  python
12:14:34 PM     12423   41.20    2.80    0.00   44.00     3  python
12:14:39 PM     12423   40.60    2.00    0.00   42.60     3  python
12:14:44 PM     12423   40.40    3.20    0.00   43.60     3  python
12:14:49 PM     12423   42.00    2.40    0.00   44.40     3  python
12:14:54 PM     12423   40.60    2.80    0.00   43.40     3  python
12:14:59 PM     12423   39.80    3.40    0.00   43.20     3  python
12:15:04 PM     12423   40.20    3.20    0.00   43.40     3  python
12:15:09 PM     12423   41.00    3.40    0.00   44.40     3  python
12:15:14 PM     12423   40.60    2.80    0.00   43.40     3  python
12:15:19 PM     12423   40.40    4.00    0.00   44.40     3  python
12:15:24 PM     12423   40.20    2.80    0.00   43.00     3  python
12:15:29 PM     12423   40.80    3.60    0.00   44.40     3  python
12:15:34 PM     12423   41.00    2.40    0.00   43.40     3  python
12:15:39 PM     12423   40.80    2.40    0.00   43.20     3  python
12:15:44 PM     12423   39.20    4.00    0.00   43.20     3  python
12:15:49 PM     12423   41.60    2.80    0.00   44.40     3  python
12:15:54 PM     12423   41.00    3.40    0.00   44.40     3  python
12:15:59 PM     12423   42.40    2.20    0.00   44.60     3  python
12:16:04 PM     12423   39.60    2.60    0.00   42.20     3  python
12:16:09 PM     12423   40.40    3.40    0.00   43.80     3  python
12:16:14 PM     12423   40.20    3.40    0.00   43.60     2  python
12:16:19 PM     12423   40.00    3.60    0.00   43.60     3  python
12:16:24 PM     12423   39.20    4.00    0.00   43.20     3  python
12:16:29 PM     12423   40.60    2.60    0.00   43.20     3  python
12:16:34 PM     12423   39.40    4.00    0.00   43.40     3  python
12:16:39 PM     12423   42.60    2.40    0.00   45.00     3  python
12:16:44 PM     12423   41.40    3.20    0.00   44.60     3  python
12:16:49 PM     12423   39.40    4.00    0.00   43.40     3  python
12:16:54 PM     12423   40.80    2.80    0.00   43.60     3  python
12:16:59 PM     12423   41.20    2.40    0.00   43.60     3  python
12:17:04 PM     12423   39.80    2.40    0.00   42.20     3  python
12:17:09 PM     12423   41.20    2.80    0.00   44.00     3  python
12:17:14 PM     12423   40.60    3.20    0.00   43.80     3  python
12:17:19 PM     12423   41.60    2.80    0.00   44.40     3  python
12:17:24 PM     12423   39.20    3.40    0.00   42.60     3  python
12:17:29 PM     12423   39.40    3.80    0.00   43.20     3  python
12:17:34 PM     12423   39.40    3.00    0.00   42.40     3  python
12:17:39 PM     12423   41.80    3.00    0.00   44.80     3  python
12:17:44 PM     12423   38.60    3.00    0.00   41.60     3  python
12:17:49 PM     12423   39.60    2.60    0.00   42.20     3  python
12:17:54 PM     12423   40.20    3.40    0.00   43.60     3  python
12:17:59 PM     12423   39.60    3.80    0.00   43.40     3  python
12:18:04 PM     12423   40.60    3.60    0.00   44.20     3  python
12:18:09 PM     12423   41.40    3.00    0.00   44.40     3  python
12:18:14 PM     12423   40.20    3.00    0.00   43.20     3  python
12:18:19 PM     12423   41.00    3.40    0.00   44.40     3  python
12:18:24 PM     12423   40.60    3.40    0.00   44.00     3  python
12:18:29 PM     12423   41.60    3.60    0.00   45.20     3  python
12:18:34 PM     12423   40.00    4.00    0.00   44.00     3  python
12:18:39 PM     12423   41.00    3.00    0.00   44.00     3  python
12:18:44 PM     12423   40.20    2.60    0.00   42.80     3  python
12:18:49 PM     12423   39.80    3.60    0.00   43.40     3  python
12:18:54 PM     12423   40.00    4.00    0.00   44.00     3  python
12:18:59 PM     12423   39.80    3.60    0.00   43.40     3  python
12:19:04 PM     12423   42.00    2.60    0.00   44.60     3  python
