Linux 3.2.0-30-virtual (14f431ee-8e10-439a-8a04-f57f71d97a86) 	12/07/2013 	_x86_64_	(4 CPU)

12:37:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:47:06 PM     all     24.68      0.00      9.13      0.71      0.00     65.48
12:47:11 PM     all     25.89      0.00      8.98      0.21      0.00     64.91
12:47:16 PM     all     25.00      0.00      9.45      0.54      0.00     65.01
12:47:21 PM     all     23.79      0.00      9.86      0.38      0.00     65.96
12:47:26 PM     all     24.71      0.00      8.35      1.64      0.00     65.30
12:47:31 PM     all     23.70      0.00     11.47      0.16      0.00     64.67
12:47:36 PM     all     24.21      0.00      8.71      1.14      0.00     65.94
12:47:41 PM     all     24.30      0.00      8.15      0.22      0.00     67.33
12:47:46 PM     all     23.50      0.00     10.11      0.66      0.00     65.74
12:47:51 PM     all     22.64      0.00      9.11      0.34      0.00     67.92
12:47:56 PM     all     24.20      0.00      8.53      1.50      0.00     65.78
12:48:01 PM     all     25.33      0.00      9.20      0.27      0.00     65.20
12:48:06 PM     all     26.51      0.00     10.36      0.53      0.00     62.59
12:48:11 PM     all     25.94      0.00      8.59      0.32      0.00     65.15
12:48:16 PM     all     23.79      0.00      9.54      0.54      0.00     66.12
12:48:21 PM     all     23.86      0.00      9.81      0.27      0.00     66.06
12:48:26 PM     all     25.58      0.00      9.12      0.38      0.00     64.92
12:48:31 PM     all     24.83      0.00      9.40      0.11      0.00     65.66
12:48:36 PM     all     24.61      0.00      9.69      0.44      0.00     65.27
12:48:41 PM     all     25.24      0.00      8.31      0.16      0.00     66.29
12:48:46 PM     all     25.39      0.00      9.18      0.38      0.00     65.06
12:48:51 PM     all     23.01      0.00      9.28      1.90      0.00     65.82
12:48:56 PM     all     25.58      0.00     10.37      0.54      0.00     63.50
12:49:01 PM     all     24.18      0.00      9.51      0.38      0.00     65.92
12:49:06 PM     all     25.16      0.00      9.02      0.54      0.00     65.28
12:49:11 PM     all     24.73      0.00      9.14      0.49      0.00     65.65
12:49:16 PM     all     25.94      0.00      8.59      0.54      0.00     64.93
12:49:21 PM     all     23.64      0.00     10.09      0.43      0.00     65.84
12:49:26 PM     all     23.62      0.00      9.44      0.71      0.00     66.23
12:49:31 PM     all     23.63      0.00      9.25      0.54      0.00     66.58
12:49:36 PM     all     24.84      0.00      8.84      0.60      0.00     65.72
12:49:41 PM     all     24.03      0.00      9.59      0.49      0.00     65.89
12:49:46 PM     all     23.56      0.00      8.64      0.66      0.00     67.14
12:49:51 PM     all     23.76      0.00      9.58      0.65      0.00     66.02
12:49:56 PM     all     24.21      0.00      9.56      0.83      0.00     65.40
12:50:01 PM     all     22.77      0.00      9.92      0.77      0.00     66.54
12:50:06 PM     all     22.87      0.00     10.02      0.72      0.00     66.39
12:50:11 PM     all     23.29      0.00      9.26      1.98      0.00     65.47
12:50:16 PM     all     24.74      0.00      8.68      0.76      0.00     65.81
12:50:21 PM     all     22.77      0.00      8.04      1.00      0.00     68.19
12:50:26 PM     all     25.62      0.00      8.97      0.64      0.00     64.77
12:50:31 PM     all     24.27      0.00      8.81      0.33      0.00     66.59
12:50:36 PM     all     24.49      0.00     10.45      0.48      0.00     64.58
12:50:41 PM     all     23.70      0.00     10.26      0.22      0.00     65.82
12:50:46 PM     all     23.36      0.00      9.05      0.50      0.00     67.09
12:50:51 PM     all     24.65      0.00     10.03      0.32      0.00     64.99
12:50:56 PM     all     24.73      0.00     10.90      0.87      0.00     63.50
